phi0,phi1,phi2,phi3,phi4,phi5,phi6,classe
0.000221039,4.89E-08,2.22E-12,2.22E-12,4.95E-24,4.92E-16,-4.95E-24,0
0.000172046,2.96E-08,2.03E-12,2.03E-12,4.11E-24,3.49E-16,-4.11E-24,0
0.000145221,2.11E-08,1.21E-13,1.21E-13,1.45E-26,1.75E-17,-1.45E-26,0
0.000222728,4.96E-08,2.21E-12,2.21E-12,4.89E-24,4.92E-16,-4.89E-24,0
0.000180006,3.24E-08,1.46E-12,1.46E-12,2.13E-24,2.62E-16,-2.13E-24,0
0.000195456,3.82E-08,8.80E-12,8.80E-12,7.75E-23,1.72E-15,-7.75E-23,0
0.000176347,3.11E-08,3.21E-12,3.21E-12,1.03E-23,5.65E-16,-1.03E-23,0
0.00016989,2.89E-08,8.45E-13,8.45E-13,7.14E-25,1.44E-16,-7.14E-25,0
0.000157724,2.49E-08,2.01E-13,2.01E-13,4.05E-26,3.18E-17,-4.05E-26,0
0.00018091,3.27E-08,2.93E-13,2.93E-13,8.57E-26,5.30E-17,-8.57E-26,0
0.000153728,2.36E-08,4.23E-12,4.23E-12,1.79E-23,6.50E-16,-1.79E-23,0
0.000157183,2.47E-08,5.09E-13,5.09E-13,2.59E-25,7.99E-17,-2.59E-25,0
0.000170614,2.91E-08,6.12E-12,6.12E-12,3.74E-23,1.04E-15,-3.74E-23,0
0.000170513,2.91E-08,1.21E-12,1.21E-12,1.47E-24,2.07E-16,-1.47E-24,0
0.000201925,4.08E-08,8.16E-13,8.16E-13,6.65E-25,1.65E-16,-6.65E-25,0
0.000190281,3.62E-08,1.55E-12,1.55E-12,2.40E-24,2.95E-16,-2.40E-24,0
0.000174637,3.05E-08,2.43E-12,2.43E-12,5.92E-24,4.25E-16,-5.92E-24,0
0.000179,3.20E-08,1.27E-12,1.27E-12,1.61E-24,2.27E-16,-1.61E-24,0
0.000162223,2.63E-08,1.60E-13,1.60E-13,2.54E-26,2.59E-17,-2.54E-26,0
0.000166226,2.76E-08,2.71E-12,2.71E-12,7.36E-24,4.51E-16,-7.36E-24,0
0.000157504,2.48E-08,6.89E-12,6.89E-12,4.75E-23,1.09E-15,-4.75E-23,0
0.000273397,7.47E-08,1.75E-10,1.75E-10,3.08E-20,4.80E-14,-3.08E-20,0
0.000212978,4.54E-08,3.46E-12,3.46E-12,1.20E-23,7.37E-16,-1.20E-23,0
0.000215664,4.65E-08,4.89E-11,4.89E-11,2.39E-21,1.06E-14,-2.39E-21,0
0.000157329,2.48E-08,1.25E-12,1.25E-12,1.55E-24,1.96E-16,-1.55E-24,0
0.000253749,6.44E-08,2.77E-11,2.77E-11,7.70E-22,7.04E-15,-7.70E-22,0
0.000159688,2.55E-08,4.25E-13,4.25E-13,1.81E-25,6.79E-17,-1.81E-25,0
0.000175956,3.10E-08,2.07E-12,2.07E-12,4.27E-24,3.63E-16,-4.27E-24,0
0.000262975,6.92E-08,2.99E-11,2.99E-11,8.97E-22,7.88E-15,-8.97E-22,0
0.000145033,2.10E-08,1.35E-14,1.35E-14,1.81E-28,1.95E-18,-1.81E-28,0
0.000278401,7.75E-08,1.19E-10,1.19E-10,1.42E-20,3.32E-14,-1.42E-20,0
0.000229043,5.25E-08,1.60E-11,1.60E-11,2.57E-22,3.67E-15,-2.57E-22,0
0.000220775,4.87E-08,5.46E-12,5.46E-12,2.99E-23,1.21E-15,-2.99E-23,0
0.00014659,2.15E-08,2.67E-13,2.67E-13,7.11E-26,3.91E-17,-7.11E-26,0
0.000150717,2.27E-08,2.89E-13,2.89E-13,8.37E-26,4.36E-17,-8.37E-26,0
0.000278643,7.76E-08,1.11E-10,1.11E-10,1.24E-20,3.10E-14,-1.24E-20,0
0.000179667,3.23E-08,1.71E-13,1.71E-13,2.94E-26,3.08E-17,-2.94E-26,0
0.000156248,2.44E-08,5.94E-14,5.94E-14,3.52E-27,9.28E-18,-3.52E-27,0
0.000165876,2.75E-08,2.98E-15,2.98E-15,8.88E-30,4.94E-19,-8.88E-30,0
0.000179313,3.22E-08,2.59E-12,2.59E-12,6.72E-24,4.65E-16,-6.72E-24,0
0.000176353,3.11E-08,4.40E-12,4.40E-12,1.93E-23,7.75E-16,-1.93E-23,0
0.000148806,2.21E-08,8.17E-15,8.17E-15,6.67E-29,1.22E-18,-6.67E-29,0
0.000145582,2.12E-08,4.82E-14,4.82E-14,2.33E-27,7.02E-18,-2.33E-27,0
0.000182402,3.33E-08,1.18E-11,1.18E-11,1.40E-22,2.16E-15,-1.40E-22,0
0.000137519,1.89E-08,6.87E-13,6.87E-13,4.72E-25,9.45E-17,-4.72E-25,0
0.000147194,2.17E-08,2.14E-13,2.14E-13,4.59E-26,3.15E-17,-4.59E-26,0
0.000158124,2.50E-08,2.78E-12,2.78E-12,7.75E-24,4.40E-16,-7.75E-24,0
0.00015155,2.30E-08,2.76E-12,2.76E-12,7.59E-24,4.18E-16,-7.59E-24,0
0.000172532,2.98E-08,3.30E-13,3.30E-13,1.09E-25,5.69E-17,-1.09E-25,0
0.000182545,3.33E-08,8.73E-13,8.73E-13,7.63E-25,1.59E-16,-7.63E-25,0
0.000183649,3.37E-08,1.23E-12,1.23E-12,1.52E-24,2.27E-16,-1.52E-24,0
0.000172796,2.99E-08,6.37E-12,6.37E-12,4.06E-23,1.10E-15,-4.06E-23,0
0.000178376,3.18E-08,9.71E-12,9.71E-12,9.44E-23,1.73E-15,-9.44E-23,0
0.000174487,3.04E-08,1.70E-12,1.70E-12,2.90E-24,2.97E-16,-2.90E-24,0
0.000176426,3.11E-08,5.13E-15,5.13E-15,2.63E-29,9.04E-19,-2.63E-29,0
0.000173285,3.00E-08,7.60E-12,7.60E-12,5.78E-23,1.32E-15,-5.78E-23,0
0.000180929,3.27E-08,7.80E-12,7.80E-12,6.08E-23,1.41E-15,-6.08E-23,0
0.000182801,3.34E-08,5.45E-12,5.45E-12,2.97E-23,9.97E-16,-2.97E-23,0
0.000141733,2.01E-08,3.56E-14,3.56E-14,1.26E-27,5.04E-18,-1.26E-27,0
0.000174348,3.04E-08,1.15E-11,1.15E-11,1.33E-22,2.01E-15,-1.33E-22,0
