phi0,phi1,phi2,phi3,phi4,phi5,phi6,classe
1.0737405369446387e-06,2.971326291699069e-11,1.80218280925294e-15,5.9867760374671e-16,1.653599941412289e-32,1.5450629740830391e-21,-7.442103187866763e-31,0.0
-7.975035459502168e-07,1.0962804959333491e-11,1.7217082037056217e-17,1.4901242032185408e-16,-1.3486526158246243e-32,2.4760043056305048e-22,1.0846555679673876e-32,0.0
7.754815139367763e-07,2.7733518483507185e-11,8.959879034382396e-16,2.1005636120389923e-16,-8.934320573033899e-32,4.0259875815147806e-22,-3.3491498212576635e-32,0.0
1.6505542641576784e-06,1.9480695189346154e-11,1.4935590201447986e-18,3.751338082332763e-18,4.34130468967466e-35,9.821880573243109e-24,-1.2742025427085298e-35,0.0
1.2004664621590943e-06,1.722573116356802e-11,3.5892386010012895e-16,2.533734643815751e-18,-8.015343261342023e-35,-5.8164563679255704e-24,2.0604346059556688e-35,0.0
4.635576536623672e-07,8.813974825303643e-12,7.870941926408539e-16,2.7859757769907617e-16,-2.0131075660514773e-32,4.0994209795254364e-22,-1.3569099179261077e-31,0.0
1.7571373414602111e-06,2.225962170925005e-11,2.1542275552686197e-15,3.557522531147421e-16,8.758276186105129e-32,8.5995102307423e-22,-2.2827226601632897e-31,0.0
1.670170224197892e-06,2.206060023801717e-11,1.2755016875946418e-16,9.943950233279432e-17,-1.1636631585717526e-33,2.6420365683659718e-22,-1.347599944744883e-32,0.0
1.1999001131173099e-06,1.4709982125967649e-12,8.315083157474203e-16,6.794978707521078e-16,-5.869297783982539e-31,7.857492426910934e-22,-1.5034039129791462e-31,0.0
1.8053761838694158e-06,1.3714239957783085e-11,3.2606668913038177e-16,5.854999216420914e-17,-6.938349138545741e-33,1.0975455314960986e-22,-1.2030810522696587e-33,0.0
5.569997560579884e-06,4.793266221491944e-10,4.027386690401305e-15,6.559061204804482e-16,4.970405976479834e-31,8.051783966844741e-22,9.43752553706838e-31,1.0
7.935724864993764e-06,4.355721954064563e-10,1.0506451554728873e-14,2.051738561984644e-15,2.9158944774364662e-30,-2.61623811448364e-21,1.0245813102799971e-29,1.0
8.89643183353833e-06,1.159357787873795e-10,4.601952526406096e-16,2.4591534091789396e-16,9.432726163426167e-32,1.803941214781586e-21,-6.646808422194456e-32,1.0
1.4328088696611695e-05,2.378975366915479e-10,1.2508226201958738e-14,1.2212743282232949e-14,1.6965155256517352e-28,1.7750401652398657e-19,-7.35211161998107e-29,1.0
1.147840643830209e-05,1.3634980806892187e-10,0.0,0.0,0.0,0.0,0.0,1.0
5.3286542423477275e-06,4.798233176424115e-10,3.0676190145949674e-15,5.121219827263859e-16,2.9876885522075987e-31,8.811451546170453e-22,5.801026480675341e-31,1.0
6.414673579738322e-06,5.494998375049875e-11,3.71019723900448e-15,7.790645334880718e-16,1.582030694111898e-30,4.810571409957918e-21,-2.6921802404130285e-31,1.0
1.6111008633173466e-05,2.6316320263560726e-10,2.4527126033362205e-15,3.7148097571285125e-15,1.510205622857299e-29,2.738363454797661e-21,-1.0990724731794246e-29,1.0
7.342750555788364e-06,2.9764551639096983e-10,2.6553840402409215e-15,9.799571279484005e-16,1.4199237945786864e-30,4.333478833966705e-21,-1.4868108807815553e-30,1.0
5.623367610162227e-06,1.6364843636486616e-10,6.4246554759261296e-15,1.2114796076799293e-15,-1.0650854618362665e-30,-4.908070392901679e-21,3.6219474548720065e-30,1.0
4.573501332097365e-06,3.159688570071921e-11,5.000975284370264e-14,9.750791000620334e-15,1.5719427747564396e-28,2.788028365774016e-20,-1.7031637457365622e-28,2.0
